Title,Artist,"Artist (Last, First)",Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Previously Owned,Uploaded Image URL,Activities
黑色柳丁,陶喆,陶喆,,,"[{""title"":""David Tao 陶喆 -  Butterfly 蝴蝶 (Lyrics & Translation)"",""youtubeID"":""pNFlLc4_azQ""},{""title"":""陶吉吉 - Katrina"",""youtubeID"":""_I5f_Q2e61M""},{""title"":""陶喆  今天晚間新聞+Dear God"",""youtubeID"":""Lhqz_Ew60rw""},{""title"":""陶喆 - angel"",""youtubeID"":""OAhEzijTV0U""},{""title"":""陶喆 - 二十二"",""youtubeID"":""vWGsTdbnQYk""},{""title"":""陶喆 - 月亮代表谁的心"",""youtubeID"":""nf0TlwlnPHQ""},{""title"":""陶喆 David Tao - 宮保雞丁 Kung Pao Chicken"",""youtubeID"":""ZSCFvZ3uvak""},{""title"":""陶喆 David Tao – Melody (官方完整版MV)"",""youtubeID"":""yEtU5tzZMkY""},{""title"":""陶喆 David Tao – My Anata (官方完整版MV)"",""youtubeID"":""VsjquPZESlc""},{""title"":""陶喆 David Tao – 討厭紅樓夢 Let's Fall In Love (官方完整版MV)"",""youtubeID"":""cOy2rdGe8LE""},{""title"":""陶喆 David Tao – 黑色柳丁 Black Tangerine (官方完整版MV)"",""youtubeID"":""VC4KT__tx5g""},{""title"":""陶喆-搖籃曲"",""youtubeID"":""UXF-c8ROZNM""}]",,,Taiwan,2002,,"[{""title"":""1. 黑色柳丁"",""duration"":255},{""title"":""2. 今天晚間新聞"",""duration"":133},{""title"":""3. Dear God"",""duration"":329},{""title"":""4. Angel"",""duration"":232},{""title"":""5. 討厭紅樓夢"",""duration"":242},{""title"":""6. 蝴蝶"",""duration"":283},{""title"":""7. 宮保雞丁"",""duration"":234},{""title"":""8. Melody"",""duration"":269},{""title"":""9. 月亮代表誰的心"",""duration"":205},{""title"":""10. 二十二"",""duration"":262},{""title"":""11. My Anata"",""duration"":227},{""title"":""12. 搖籃曲"",""duration"":255},{""title"":"". Bonus Track"",""duration"":0},{""title"":""13. Katrina (Demo)"",""duration"":266}]",,"Rock,Pop,Funk / Soul","Alternative Rock,Ballad,Rhythm & Blues",,,,Backing Vocals - 陶喆,,,,,,,,专辑,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/27 22:09:50.597404956,,,,,,,,11239608,,0,,https://img.discogs.com/a8o0seM0j7L5ODcEqgeuFanUpuc=/fit-in/600x521/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-11239608-1512513311-5928.jpeg.jpg,
红土香,徐沛东,徐沛东,,,,,,,,,,,,,徐沛东,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 05:27:00.882513999,,,,,,,,,,0,0,,
后来,刘若英,刘若英,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:09:56.231575965,,,,,,,,,爱情,0,0,,
花又开好了,S.H.E,S.H.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:37:00.137722015,,,,,,,,,,0,,,
画,赵雷,赵雷,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.000000,,,,,,0,,,,,,2020/01/12 20:13:26.869577884,,,,,,,,,人生,0,,,
黄昏,周传雄,周传雄,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:15:08.868659019,,,,,,,,,爱情,0,0,,
会好的,张艺兴,张艺兴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:47:14.608266830,,,,,,,mv,,,0,,,
活着,洪真英,洪真英,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/03/19 01:18:24.244086027,,,,,,,,,,0,,,
活着,郝云,郝云,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:54:39.521875858,,,,,,,,,人生,0,0,,
火苗,格格,格格,,,,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 09:33:43.262350082,,,,,,,,,,0,0,,
记得吗,河北工程大学,河北工程大学,河北工程大学毕业歌,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 07:46:42.879081964,,,,,,,,,,0,0,,
寂寞沙洲冷,周传雄,周传雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:14:12.216585159,,,,,,,,,爱情,0,0,,
假行僧,崔健,崔健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 22:53:18.611050128,,,,,,,,,,0,,,
姐姐,张楚,张楚,,,,,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 11:51:19.393707990,,,,,,,,,,0,,,
借我,谢春花,谢春花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:49:31.299203872,,,,,,,,,,0,,,
今天你要嫁给我,陶喆,陶喆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/27 22:07:11.619472980,,,,,,,,,爱情,0,0,,
九儿,谭晶,谭晶,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:57:42.192929029,,,,,,,,,,0,,,
